r[Mpc/h] n_pair v12_tot[km/s] error[km/s] v12_los[km/s] error[km/s] v12_per[km/s] error[km/s] d12_tot[km/s] error[km/s] d12_los[km/s] error[km/s] d12_per[km/s] error[km/s]
0.5315 31131 670.979 3.77147 -143.355 3.12602 495.162 3.22146 944.997 6.51738 569.879 5.1235 753.828 5.90352
0.600579 40452 671.924 3.44223 -144.749 2.79368 495.646 2.93501 964.778 6.03152 580.229 4.65401 770.798 5.61153
0.678636 51753 660.047 3.05838 -155.907 2.47733 484.951 2.57307 959.032 5.27949 584.742 4.2076 760.144 4.72724
0.766837 66892 648.665 2.71181 -151.024 2.17791 477.967 2.26818 955.345 4.73447 583.177 3.94054 756.695 4.2053
0.866503 85545 638.196 2.45457 -154.836 1.944 470.563 2.03426 960.57 4.39156 589.288 3.6601 758.573 3.89904
0.979121 109491 622.56 2.15799 -156.986 1.68042 460.206 1.79265 947.35 3.77144 577.776 2.94483 750.765 3.46097
1.10638 137906 607.866 1.90554 -162.141 1.48716 448.716 1.56466 932.872 3.4182 575.579 2.79444 734.139 3.0521
1.25017 170846 600.504 1.71075 -169.835 1.33289 442.604 1.39474 927.694 3.05567 576.515 2.49265 726.806 2.71807
1.41266 212123 590.268 1.50534 -175.229 1.18281 433.166 1.21665 910.549 2.70841 572.251 2.22171 708.256 2.40937
1.59626 262937 581.331 1.32761 -182.513 1.05182 425.099 1.06186 895.202 2.37395 569.391 1.98407 690.783 2.0938
1.80372 327463 573.597 1.16711 -187.805 0.929654 417.598 0.928636 880.377 2.1218 564.166 1.74742 675.855 1.88129
2.03815 408053 564.381 1.01514 -195.47 0.817478 408.243 0.800483 859.668 1.87305 557.583 1.5705 654.318 1.63732
2.30305 512609 557.263 0.874552 -200.852 0.715178 400.311 0.683998 838.216 1.61754 550.028 1.35752 632.514 1.41402
2.60237 646258 551.125 0.749124 -205.472 0.623483 393.558 0.580909 816.34 1.38531 541.7 1.19656 610.714 1.18209
2.9406 821809 546.134 0.639177 -206.2 0.539835 389.046 0.494113 796.248 1.18431 531.047 1.02084 593.295 1.0093
3.32279 1052212 543.316 0.544719 -208.397 0.46933 385.622 0.417605 779.361 1.00591 524.595 0.884741 576.371 0.838014
3.75465 1361175 540.586 0.461295 -208.783 0.404312 383.354 0.352174 762.811 0.834509 515.848 0.742421 561.945 0.687966
4.24264 1778742 540.179 0.391313 -208.129 0.347911 383.569 0.298433 751.109 0.699081 508.548 0.631682 552.761 0.567214
4.79405 2341990 539.026 0.330483 -205.475 0.297761 383.581 0.25252 739.147 0.583996 499.864 0.529092 544.495 0.473068
5.41713 3108624 539.099 0.279613 -202.45 0.255438 384.264 0.213871 730.528 0.487725 493.781 0.445007 538.378 0.394347
6.12119 4150815 539.303 0.235848 -198.523 0.218234 385.476 0.181039 722.312 0.409408 486.928 0.373539 533.513 0.332014
6.91676 5591084 540.266 0.19872 -194.09 0.186259 387.336 0.153074 716.014 0.343038 481.288 0.313417 530.131 0.278748
7.81573 7583807 541.913 0.166934 -188.801 0.158605 389.608 0.129301 710.638 0.286276 475.836 0.261591 527.813 0.233962
8.83153 10348069 544.161 0.139537 -183.105 0.134742 392.373 0.108686 705.405 0.234146 470.533 0.213958 525.542 0.192192
9.97936 14209442 546.468 0.116208 -176.467 0.114172 395.138 0.0911358 700.37 0.191813 465.149 0.174918 523.597 0.158971
11.2764 19644486 550.102 0.0967304 -169.374 0.0967795 398.823 0.0764047 697.439 0.15716 461.176 0.142868 523.2 0.131242
12.742 27294347 554.489 0.0803696 -161.709 0.0820555 402.843 0.0639296 695.529 0.129141 458.176 0.117534 523.292 0.108279
14.398 38122019 560.09 0.0667408 -153.561 0.0695266 407.877 0.0535418 695.348 0.105778 455.917 0.0958755 525.023 0.0896173
16.2693 53482939 566.555 0.0552947 -144.937 0.0589211 413.317 0.0447273 696.066 0.0864328 454.624 0.0781855 527.091 0.0738046
18.3838 75347861 573.539 0.0457062 -135.438 0.0498542 419.236 0.0373261 697.39 0.0703643 453.449 0.0634994 529.846 0.0606686
20.7732 106547079 581.871 0.0378132 -125.627 0.0422115 426.125 0.0311985 700.656 0.0572284 453.464 0.0514212 534.125 0.049895
23.473 151273569 591.152 0.0312798 -115.79 0.0357416 433.677 0.0260611 705.316 0.0467077 454.591 0.0418933 539.275 0.0411068
26.5238 215329824 601.246 0.0258991 -105.888 0.0302679 441.817 0.0217905 711.289 0.0381853 456.603 0.0341127 545.386 0.0339481
29.9711 307413843 612.131 0.0214618 -96.0724 0.0256254 450.643 0.0182267 718.541 0.0311881 459.452 0.0277926 552.454 0.027968
33.8664 439903424 623.604 0.0177951 -86.4086 0.0216928 459.874 0.0152441 726.763 0.0254981 463.114 0.0226714 560.098 0.0230715
